,Title,author,rating,num_rating,num_reviews,pages,publish_year,url,series,awards,genre_1,genre_2,genre_3,places
252,When You Are Engulfed in Flames,David Sedaris,4.06,"188,454 ratings","9,769 reviews",323 pages,Published June 3rd 2008 by Little Brown and Company,,http://www.hachettebookgroup.com/titles/david-sedaris/when-you-are-engulfed-in-flames/9780316143479/,,,,,
253,The Ersatz Elevator,Lemony Snicket,4.03,"124,020 ratings","3,431 reviews",259 pages,Published February 20th 2001 by HarperCollins Publishers,,A Series of Unfortunate Events #6,,,,,
254,Assassination Vacation,Sarah Vowell,3.93,"43,870 ratings","3,864 reviews",,Published 2006 by Simon Schuster (first published March 29th 2005),,Abraham Lincoln,,Nonfiction,History,Humor,
255,Deception Point,Dan Brown,3.72,"601,864 ratings","9,605 reviews",556 pages,Published December 2002 by Pocket Books (first published 2001),,Rachel Sexton,,,,,
256,The House of the Scorpion,Nancy Farmer,4.07,"82,588 ratings","6,458 reviews",,Published May 2004 by Atheneum Books for Young Readers (first published 2002),,Matteo Alacran #1,,,,,
257,An Echo in the Bone,Diana Gabaldon,4.43,"121,352 ratings","6,294 reviews",1149 pages,Published January 21st 2010 by Orion (first published September 22nd 2009),,Outlander #7,"DABWAHA Romance Tournament for Best Novel with Romantic Elements/Crossover (2010), Goodreads Choice Award for Romance (2009)",,,,
258,The Vagina Monologues,Eve Ensler,3.88,"29,572 ratings","2,125 reviews",,Published May 3rd 2001 by Virago Press Ltd. (first published 1996),,,,,,,
259,In a Sunburned Country,Bill Bryson,4.07,"92,648 ratings","5,712 reviews",,Published May 15th 2001 by Broadway Books (first published June 18th 2000),,,,,,,
260,If I Stay,Gayle Forman,3.94,"726,484 ratings","38,611 reviews",,Published April 2nd 2009 by Dutton Books for Young Readers,,If I Stay #1,"Georgia Peach Book Award Nominee for Honor book (2010), South Carolina Book Award Nominee for Young Adult Book Award (2011), Blue Hen Book Award for Teen Readers (2011), Pennsylvania Young Readers' Choice Award Nominee (2011), Milwaukee County Teen Book Award Nominee (2010) ...more",Young Adult,Romance,Contemporary,
261,Change of Heart,Jodi Picoult,3.92,"106,614 ratings","6,610 reviews",,Published March 4th 2008 by Atria Books,,Michael Wright,,Fiction,Contemporary,Womens Fiction,
262,The Truth About Forever,Sarah Dessen,4.12,"211,394 ratings","8,329 reviews",,Published May 11th 2004 by Penguin Group Inc.,,Macy Queen,All Editions | Add a New Edition | Combine,,,,
263,Fablehaven,Brandon Mull,4.09,"138,781 ratings","10,026 reviews",,Published June 7th 2006 by Shadow Mountain,,http://brandonmull.com/site/fablehaven-books,,Fantasy,Young Adult,Childrens,
264,Columbine,Dave Cullen,4.28,"72,962 ratings","8,360 reviews",,Published April 6th 2009 by Twelve (first published March 1st 2009),,Audie Award Nominee for Best Nonfiction (2009),,Nonfiction,Crime,History,
265,Keeping Faith,Jodi Picoult,3.80,"78,402 ratings","3,809 reviews",,Published February 21st 2006 by William Morrow Paperbacks (first published April 22nd 1999),,Mariah White,,,,,
266,Her Fearful Symmetry,Audrey Niffenegger,3.26,"91,308 ratings","12,367 reviews",,Published September 29th 2009 by Jonathan Cape Ltd,,Elspeth Noblin,,Fiction,Fantasy,Fantasy,
267,Moneyball: The Art of Winning an Unfair Game,Michael Lewis,4.25,"104,633 ratings","5,068 reviews",,Published March 17th 2004 by W. W. Norton Company (first published 2003),,Casey Award (2003),,,,,
268,The Sweetness at the Bottom of the Pie,Alan Bradley,3.81,"149,110 ratings","16,370 reviews",,Published April 28th 2009 by Delacorte Press,,Flavia de Luce #1,"Barry Award for Best First Novel (2010), Macavity Award for Best First Mystery Novel (2010), Anthony Award Nominee for Best First Novel (2010), Dilys Award (2010), Arthur Ellis Award for Best First Novel (2010) ...more",Mystery,Fiction,Historical,
269,The Liars' Club,Mary Karr,3.93,"59,874 ratings","3,039 reviews",320 pages,Published May 31st 2005 by Penguin Books (first published 1995),,PEN/Martha Albrand Award for First Nonfiction Writers (1996),,,,,
270,American Wife,Curtis Sittenfeld,3.75,"51,967 ratings","6,358 reviews",,Published September 2nd 2008 by Random House,,Alice Lindgren,All Editions | Add a New Edition | Combine,,,,
271,Princess Academy,Shannon Hale,4.00,"109,353 ratings","8,634 reviews",,Published April 17th 2007 by Bloomsbury Children's Books (first published July 1st 2005),,Princess Academy #1,"Newbery Medal Nominee (2006), Utah Book Award for Children/Young Adults (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2007), Rebecca Caudill Young Readers' Book Award Nominee (2008)",,,,
272,Blankets,Craig Thompson,4.04,"97,904 ratings","6,593 reviews",,Published August 18th 2003 by Top Shelf Productions (first published July 23rd 2003),,Craig,,,,,
273,Can You Keep a Secret?,Sophie Kinsella,3.84,"385,121 ratings","12,420 reviews",,Published December 27th 2005 by Dell Publishing Company (first published March 1st 2003),Artemis (Goddess),,All Editions | Add a New Edition | Combine,,,,
274,Evermore,Alyson Noel,3.59,"268,401 ratings","9,824 reviews",301 pages,Published February 3rd 2009 by St. Martin's Griffin,,https://alysonnoel.com/immortals.php#evermore,,Young Adult,Fantasy,Fantasy,
275,Lover Awakened,J.R. Ward,4.44,"163,479 ratings","7,019 reviews",,Published September 5th 2006 by Signet,,Black Dagger Brotherhood #3,"All About Romance (AAR) Annual Reader Poll for Best Romance & Best Paranormal & Most Tortured Hero & Strongest Heroine & Best Villain & Most-Hanky Read & Honorable Mention for Best Couple (2007), Romantic Times Reviewers' Choice Award (RT Award) for Vampire Romance (2006)",,,,
276,Something Borrowed,Emily Giffin,3.85,"515,354 ratings","12,625 reviews",,Published June 1st 2004 by St. Martin's Press,,http://us.macmillan.com/somethingborrowed/EmilyGiffin,,,,,
277,Fantastic Beasts and Where to Find Them,Newt Scamander,3.97,"343,797 ratings","10,641 reviews",,Published June 1st 2001 by Arthur A. Levine Books (first published March 1st 2001),,Hogwarts Library,All Editions | Add a New Edition | Combine,Fantasy,Fiction,Young Adult,
278,One True Thing,Anna Quindlen,4.03,"37,270 ratings","1,381 reviews",,Published August 8th 2006 by Random House Trade Paperbacks (first published August 30th 1994),,,All Editions | Add a New Edition | Combine,,,,
279,Life As We Knew It,Susan Beth Pfeffer,3.88,"117,569 ratings","9,824 reviews",,Published October 1st 2006 by HMH Books for Young Readers,,Last Survivors #1,"Buxtehuder Bulle (2010), South Carolina Book Award Nominee for Young Adult Book (2009), Rhode Island Teen Book Award Nominee (2008), Evergreen Teen Book Award (2009), The Inky Awards Nominee for Silver Inky (2008) ...more",,,,
280,The Vile Village,Lemony Snicket,3.95,"121,076 ratings","2,958 reviews",,Published April 24th 2001 by HarperCollins Publishers,,A Series of Unfortunate Events #7,,,,,
281,The Dante Club,Matthew Pearl,3.39,"37,262 ratings","2,501 reviews",,Published June 27th 2006 by Ballantine Books (first published 2003),,The Dante Club #1,CWA Ellis Peters Historical Award Nominee (2004),,,,
282,Let the Right One In,John Ajvide Lindqvist,4.03,"93,882 ratings","6,060 reviews",,Published August 2nd 2007 by Quercus Publishing (first published May 2004),,http://us.macmillan.com/lettherightonein/JohnLindqvist,James Tiptree Jr. Award Nominee (2008),,,,
283,The Angel Experiment,James Patterson,4.07,"209,162 ratings","9,408 reviews",,Published May 5th 2006 by Grand Central Publishing (first published April 1st 2005),,Maximum Ride #1,"Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2008)",,,,
284,The Summoning,Kelley Armstrong,4.01,"159,282 ratings","6,305 reviews",390 pages,Published July 1st 2008 by HarperCollins,,Darkest Powers #1,Sunburst Award Nominee for Young Adult Work (2009),,,,
285,The Lies of Locke Lamora,Scott Lynch,4.26,"232,692 ratings","15,068 reviews",,Published June 27th 2006 by Spectra (first published June 1st 2006),,Gentleman Bastard #1,"Locus Award Nominee for Best Fantasy Novel and Best First Novel (2007), World Fantasy Award Nominee for Best Novel (2007), Compton Crook Award Nominee (2007), Grand Prix de l'Imaginaire Nominee for Roman étranger (2008), Tähtifantasia Award Nominee (2008) ...more",,,,
286,Wicked Lovely,Melissa Marr,3.69,"158,763 ratings","7,117 reviews",328 pages,Published June 12th 2007 by HarperTeen,,,,Fantasy,Young Adult,Romance,
287,Elsewhere,Gabrielle Zevin,3.90,"51,727 ratings","5,284 reviews",,Published May 15th 2007 by Square Fish (first published September 9th 2005),Elizabeth Marie Hall,Georgia Peach Book Award Nominee for Honor book (2006),,,,,
288,The Carnivorous Carnival,Lemony Snicket,3.98,"110,832 ratings","2,594 reviews",,Published October 17th 2002 by HarperCollins Publishers,,A Series of Unfortunate Events #9,,,,,
289,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,4.03,"47,196 ratings","5,033 reviews",,Published September 1st 2006 by Mariner Books (first published December 14th 2005),,National Book Award for Nonfiction (2006),,,,,
290,The Arrival,Shaun Tan,4.33,"48,136 ratings","4,687 reviews",,Published October 12th 2007 by Lothian Books,http://www.shauntan.net/books.html,Hugo Award Nominee for Best Related Book (2008),,,,,
291,Living Dead in Dallas,Charlaine Harris,3.96,"240,219 ratings","7,002 reviews",,Published April 1st 2004 by Orbit (first published April 2002),,Sookie Stackhouse #2,Lord Ruthven Award for Fiction (2003),,,,
292,The Hero of Ages,Brandon Sanderson,4.48,"276,247 ratings","16,411 reviews",,Published October 14th 2008 by Tor Books,,Mistborn #3,,,,,
293,Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,3.84,"54,706 ratings","6,165 reviews",,Published September 24th 2008 by Grand Central Publishing,,Dewey Readmore,,,,,
294,Then We Came to the End,Joshua Ferris,3.45,"33,182 ratings","4,815 reviews",,"Published March 1st 2007 by Little, Brown and Company (first published 2007)",,,,Fiction,Humor,Contemporary,
295,Ten Big Ones,Janet Evanovich,4.14,"92,605 ratings","2,148 reviews",,Published June 21st 2005 by St. Martin's Press (first published June 22nd 2004),,Stephanie Plum #10,All Editions | Add a New Edition | Combine,,,,
296,Shutter Island,Dennis Lehane,4.08,"168,918 ratings","8,512 reviews",,Published April 27th 2004 by HarperTorch (first published April 15th 2003),,Teddy Daniels,,Mystery,Fiction,Thriller,
297,The Last Song,Nicholas Sparks,4.15,"510,423 ratings","12,022 reviews",,Published September 8th 2009 by Grand Central Publishing (first published September 8th 2008),,Will Blakelee,,,,,
298,State of Fear,Michael Crichton,3.71,"82,509 ratings","3,292 reviews",,Published November 1st 2005 by Avon (first published December 7th 2004),Peter Evans,,,,,,
299,Beautiful Creatures,Kami Garcia,3.76,"551,153 ratings","22,102 reviews",,"Published December 1st 2009 by Little, Brown and Company",,Caster Chronicles #1,"Georgia Peach Book Award Nominee for Honor book (2011), William C. Morris YA Debut Award Nominee (2010), Audie Award for Paranormal (2011), California Young Readers Medal Nominee for Young Adult (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2009)",Young Adult,Fantasy,Fantasy,
300,The Bookseller of Kabul,Åsne Seierstad,3.75,"45,294 ratings","3,251 reviews",,"Published October 26th 2004 by Little, Brown and Company (first published September 2nd 2002)",,,,,,,
301,Fearless Fourteen,Janet Evanovich,4.04,"85,328 ratings","3,526 reviews",310 pages,Published June 17th 2008 by St. Martin's Press,,Stephanie Plum #14,,,,,
302,Salem Falls,Jodi Picoult,3.82,"73,716 ratings","3,538 reviews",434 pages,Published August 1st 2002 by Washington Square Press (first published April 3rd 2001),,Jack St. Bride,,,,,
303,Peony in Love,Lisa See,3.61,"43,685 ratings","4,514 reviews",,Published June 26th 2007 by Random House (first published 2007),,,All Editions | Add a New Edition | Combine,Historical,Fiction,Cultural,
304,Don't Let's Go to the Dogs Tonight: An African Childhood,Alexandra Fuller,3.95,"50,820 ratings","3,412 reviews",,Published March 11th 2003 by Random House Trade Paperbacks (first published December 1st 2001),,,All Editions | Add a New Edition | Combine,,,,
305,His Majesty's Dragon,Naomi Novik,4.03,"82,586 ratings","6,556 reviews",,Published March 28th 2006 by Del Rey (first published January 3rd 2006),,http://www.temeraire.org/his-majestys-dragon/,,,,,
306,The Alchemyst,Michael Scott,3.84,"145,780 ratings","8,503 reviews",,Published August 5th 2010 by Corgi Childrens (first published May 22nd 2007),,The Secrets of the Immortal Nicholas Flamel #1,"Rhode Island Teen Book Award (2009), Iowa Teen Award Nominee (2011), Rebecca Caudill Young Readers' Book Award Nominee (2011)",,,,
307,The Grim Grotto,Lemony Snicket,4.00,"98,179 ratings","2,373 reviews",,Published September 21st 2004 by HarperCollins Publishers,,A Series of Unfortunate Events #11,All Editions | Add a New Edition | Combine,,,,
308,Unwind,Neal Shusterman,4.16,"197,604 ratings","18,925 reviews",,Published November 6th 2007 by Simon & Schuster Books for Young Readers,,Unwind Dystology #1,"Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010) ...more",Young Adult,Science Fiction,Science Fiction,
309,Club Dead,Charlaine Harris,4.01,"225,789 ratings","5,524 reviews",,Published May 6th 2006 by Orbit (first published April 29th 2003),Sookie Stackhouse #3,Sookie Stackhouse,,,,,
310,Fallen,Lauren Kate,3.73,"507,378 ratings","19,861 reviews",452 pages,Published December 8th 2009 by Delacorte Press,,https://www.getunderlined.com/books/200131/fallen-by-lauren-kate/,,,,,
311,Life Expectancy,Dean Koontz,3.98,"33,011 ratings","1,961 reviews",,Published October 25th 2005 by Bantam Books (first published 2004),,Jimmy Tock,,,,,
312,Ella Minnow Pea: A Novel in Letters,Mark Dunn,3.88,"30,849 ratings","5,583 reviews",,Published September 17th 2002 by Anchor (first published October 1st 2001),,Borders Original Voices Award for Fiction (2001),,,,,
313,In Her Shoes,Jennifer Weiner,3.80,"199,695 ratings","2,757 reviews",,Published October 3rd 2005 by Pocket Books (first published September 1st 2002),Rose Feller,,,,,,
314,Definitely Dead,Charlaine Harris,4.00,"194,271 ratings","4,052 reviews",,Published March 27th 2007 by Ace Books (first published 2006),,Sookie Stackhouse #6,All Editions | Add a New Edition | Combine,,,,
315,The Lacuna,Barbara Kingsolver,3.77,"64,068 ratings","7,847 reviews",,Published November 3rd 2009 by Harper,,Leon Trotsky,,,,,
316,Zeitoun,Dave Eggers,4.05,"73,543 ratings","7,780 reviews",,Published July 15th 2009 by McSweeney's,,,,,,,
317,Saving Fish from Drowning,Amy Tan,3.44,"29,712 ratings","2,929 reviews",472 pages,Published September 26th 2006 by Ballantine Books (first published 2005),,Bibi Chen,,,,,
318,Duma Key,Stephen King,3.95,"103,128 ratings","5,633 reviews",611 pages,Published January 22nd 2008 by Scribner Book Company,,Edgar Freemantle,,Horror,Fiction,Thriller,
319,The World Without Us,Alan Weisman,3.80,"38,257 ratings","3,519 reviews",324 pages,Published July 10th 2007 by Thomas Dunne Books,Orion Book Award Nominee (2008),,,,,,
320,The Fortress of Solitude,Jonathan Lethem,3.83,"22,220 ratings","1,478 reviews",,Published January 6th 2005 by Faber and Faber (first published September 16th 2003),,Dylan Ebdus,,,,,
321,The Stolen Child,Keith Donohue,3.72,"10,897 ratings","1,413 reviews",,Published May 9th 2006 by Nan A. Talese,,Mythopoeic Fantasy Award Nominee for Adult Literature (2007),,,,,
322,Runaway,Alice Munro,3.98,"20,804 ratings","2,143 reviews",335 pages,Published November 2005 by Vintage Contemporaries (first published August 11th 2003),,Juliet,All Editions | Add a New Edition | Combine,,,,
323,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,4.19,"82,087 ratings","8,102 reviews",,Published June 18th 2006 by Thomas Nelson (first published January 1st 2006),,Same Kind of Different as Me #1,,,,,
324,The Well of Ascension,Brandon Sanderson,4.35,"297,057 ratings","15,631 reviews",,Published August 21st 2007 by Tor Books,,Mistborn #2,All Editions | Add a New Edition | Combine,,,,
325,The Line of Beauty,Alan Hollinghurst,3.72,"24,152 ratings","1,441 reviews",,Published 2004 by Bloomsbury,,,,,,,
326,A Walk to Remember,Nicholas Sparks,4.18,"686,366 ratings","13,285 reviews",,Published September 1st 2004 by Grand Central Publishing (first published October 1st 1999),,Landon Carter,,,,,
327,The Little Friend,Donna Tartt,3.46,"51,241 ratings","4,817 reviews",,Published October 28th 2003 by Vintage (first published October 22nd 2002),,Harriet Dufresnes,,,,,
328,March,Geraldine Brooks,3.74,"56,834 ratings","6,046 reviews",,Published January 31st 2006 by Penguin (first published March 3rd 2005),,Marmee,All Editions | Add a New Edition | Combine,,,,
329,Tears of the Giraffe,Alexander McCall Smith,3.97,"49,760 ratings","2,854 reviews",,Published August 7th 2003 by Abacus (first published 2000),,,,,,,
330,Extras,Scott Westerfeld,3.60,"106,640 ratings","5,451 reviews",,Published October 2nd 2007 by Simon Pulse (first published May 10th 2006),,Uglies #4,"Ditmar Award Nominee for Best Novel (2008), The Inky Awards Nominee for Silver Inky (2008)",Young Adult,Science Fiction,Science Fiction,
331,Fragile Things: Short Fictions and Wonders,Neil Gaiman,3.94,"66,963 ratings","3,902 reviews",,Published September 26th 2006 by William Morrow (first published September 25th 2006),,American Gods #1.1 (Monarch of the Glen),,,,,
332,Lean Mean Thirteen,Janet Evanovich,4.09,"88,207 ratings","2,488 reviews",310 pages,Published June 19th 2007 by St. Martin's Press,,Stephanie Plum #13,All Editions | Add a New Edition | Combine,,,,
333,"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,4.08,"105,250 ratings","3,006 reviews",,Published January 2nd 2003 by Vertigo,,http://www.dccomics.com/vertigo/graphic_novels/?gn=1736,,,,,
334,Fairest,Gail Carson Levine,3.88,"62,091 ratings","4,170 reviews",,Published September 19th 2006 by HarperCollins,,http://www.gailcarsonlevine.com/fairest.html,,,,,
335,The Amulet of Samarkand,Jonathan Stroud,4.00,"119,090 ratings","5,128 reviews",462 pages,Published September 30th 2003 by Hyperion Books for Children,,http://www.bartimaeusbooks.com/amulet.html,,,,,
336,The Hour I First Believed,Wally Lamb,3.81,"58,185 ratings","6,568 reviews",,Published November 11th 2008 by Harper (first published November 11th 2007),,,,,,,
337,Cell,Stephen King,3.65,"196,289 ratings","6,124 reviews",,Published December 2006 by Pocket Star Books (first published 2006),,Johnny,,Horror,Fiction,Horror,
338,Fool Moon,Jim Butcher,4.01,"167,719 ratings","7,420 reviews",,Published January 9th 2001 by Roc (first published January 1st 2001),,,,,,,
339,The Awakening,Kelley Armstrong,4.14,"109,963 ratings","3,347 reviews",360 pages,Published April 28th 2009 by HarperCollins,,http://www.kelleyarmstrong.com/book/the-awakening-2/,,,,,
340,South of Broad,Pat Conroy,3.81,"42,230 ratings","5,604 reviews",,Published August 11th 2009 by Nan A. Talese,,,,,,,
341,Twelve Sharp,Janet Evanovich,4.15,"90,395 ratings","2,310 reviews",310 pages,Published June 20th 2006 by St. Martin's Press,,Stephanie Plum #12,All Editions | Add a New Edition | Combine,,,,
342,In Defense of Food: An Eater's Manifesto,Michael Pollan,4.07,"105,366 ratings","7,907 reviews",,Published January 1st 2008 by Penguin Press,,,,,,,
343,Lover Eternal,J.R. Ward,4.34,"175,258 ratings","6,656 reviews",,Published March 7th 2006 by Signet,,Black Dagger Brotherhood #2,,,,,
344,On Chesil Beach,Ian McEwan,3.58,"79,631 ratings","7,172 reviews",,Published March 23rd 2007 by Jonathan Cape,,Edward Mayhew,,,,,
345,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.32,"1,646 ratings",14 reviews,,Published September 16th 2009 by Lulu.com (first published 2009),,,,,,,
346,Dead and Gone,Charlaine Harris,4.01,"176,997 ratings","4,527 reviews",,Published May 5th 2009 by Ace Books (first published 2009),,Sookie Stackhouse #9,Goodreads Choice Award for Fantasy (2009),,,,
347,Dead as a Doornail,Charlaine Harris,3.99,"209,268 ratings","4,076 reviews",,Published April 25th 2006 by Ace Books (first published 2005),,Sookie Stackhouse #5,,,,,
348,All Together Dead,Charlaine Harris,4.05,"189,410 ratings","3,640 reviews",,Published May 1st 2007 by Ace,,Sookie Stackhouse #7,,,,,
349,Elantris,Brandon Sanderson,4.17,"184,074 ratings","11,159 reviews",,Published May 30th 2006 by Tor Fantasy (first published May 1st 2005),,Elantris #1,,,,,
350,Gone,Michael Grant,3.86,"182,358 ratings","10,889 reviews",,Published June 24th 2008 by Katherine Tegen Books,,Gone #1,Missouri Truman Readers Award Nominee (2011),,,,
351,The Knife of Never Letting Go,Patrick Ness,3.97,"158,554 ratings","16,989 reviews",512 pages,Published July 22nd 2014 by Candlewick Press (first published May 5th 2008),,Chaos Walking #1,"Guardian Children's Fiction Prize (2008), Manchester Book Award Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010) ...more",,,,
352,Dead Witch Walking,Kim Harrison,4.03,"113,333 ratings","4,943 reviews",416 pages,Published July 1st 2004 by HarperTorch (first published April 1st 2004),,,,,,,
353,Quicksilver,Neal Stephenson,3.89,"38,328 ratings","2,120 reviews",927 pages,Published September 21st 2004 by HarperCollins Perennial (first published September 23rd 2003),,https://www.harpercollins.com/9780060593087/quicksilver,,,,,
354,The Magicians,Lev Grossman,3.52,"238,870 ratings","22,465 reviews",,Published August 11th 2009 by Viking,,The Magicians #1,"ALA Alex Award (2010), The Kitschies Nominee for Red Tentacle (Novel) (2009), Goodreads Choice Award Nominee for Fiction & Fantasy (2009)",,,,
355,I am Charlotte Simmons,Tom Wolfe,3.42,"25,823 ratings","2,036 reviews",,Published August 30th 2005 by Picador USA (first published December 9th 2004),,Bad Sex in Fiction Award (2004),,,,,
356,Balzac and the Little Chinese Seamstress,Dai Sijie,3.64,"57,773 ratings","4,441 reviews",,Published October 29th 2002 by Anchor Books (first published 2000),,,,,,,
357,Dress Your Family in Corduroy and Denim,David Sedaris,4.09,"251,193 ratings","6,592 reviews",257 pages,"Published 2004 by Little, Brown & Co.",,https://www.davidsedarisbooks.com/titles/david-sedaris/dress-your-family-in-corduroy-and-denim/9780316010795/,,,,,
358,The Birth House,Ami McKay,4.02,"39,827 ratings","2,803 reviews",,Published March 6th 2007 by Vintage Canada (first published February 14th 2006),,Dora Rare,,,,,
359,Waiting,Ha Jin,3.52,"19,547 ratings","1,818 reviews",,Published September 19th 2000 by Vintage (first published 1999),,Pulitzer Prize Nominee for Fiction (2000),,,,,
360,Blue Bloods,Melissa de la Cruz,3.69,"134,891 ratings","4,952 reviews",302 pages,Published March 27th 2007 by Hyperion (first published March 27th 2006),,Blue Bloods #1,,,,,
361,Inés of My Soul,Isabel Allende,3.94,"22,839 ratings","1,867 reviews",,Published November 7th 2006 by Harper (first published September 5th 2006),,,All Editions | Add a New Edition | Combine,,,,
362,Vampire Academy Collection,Richelle Mead,4.61,"33,790 ratings",244 reviews,,Published October 13th 2009 by Amazon,,Vampire Academy #1-3,All Editions | Add a New Edition | Combine,,,,
363,Vernon God Little,D.B.C. Pierre,3.58,"29,666 ratings","1,415 reviews",,Published 2004 by Faber and Faber (first published 2003),,,,,,,
364,Son of a Witch,Gregory Maguire,3.48,"58,444 ratings","3,510 reviews",,Published September 26th 2006 by William Morrow Paperbacks (first published September 27th 2005),,The Wicked Years #2,,,,,
365,Pretties,Scott Westerfeld,3.85,"235,549 ratings","10,368 reviews",,Published November 1st 2005 by Simon Pulse,,http://www.scottwesterfeld.com/,,,,,
366,Lisey's Story,Stephen King,3.68,"68,329 ratings","3,815 reviews",513 pages,Published October 24th 2006 by Scribner,,Lisey Landon,,Horror,Fiction,Fantasy,
367,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,4.02,"69,081 ratings","3,958 reviews",541 pages,Published October 10th 2006 by Vintage (first published August 9th 2005),,Julia Ward Howe Prize (2006),,,,,
368,Icy Sparks,Gwyn Hyman Rubio,3.70,"39,948 ratings","1,353 reviews",,Published March 8th 2001 by Penguin Group (first published January 1st 1998),,,All Editions | Add a New Edition | Combine,,,,
369,Shopgirl,Steve Martin,3.42,"35,610 ratings","2,797 reviews",,Published January 1st 2000 by Hachette Books,,Mirabelle Buttersfield,,,,,
370,Inkdeath,Cornelia Funke,3.93,"78,386 ratings","3,131 reviews",,Published September 28th 2007 by Chicken House,,Inkworld #3,All Editions | Add a New Edition | Combine,,,,
371,The Jane Austen Book Club,Karen Joy Fowler,3.12,"68,065 ratings","4,524 reviews",,Published April 26th 2005 by G.P. Putnam's Sons (first published April 22nd 2004),,Bernadette,,,,,
372,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.95,"92,248 ratings","4,755 reviews",,Published 2007 by Twelve,,Moses (Bible),All Editions | Add a New Edition | Combine,,,,
373,A Girl Named Zippy,Haven Kimmel,3.80,"34,289 ratings","3,894 reviews",,Published 2001 by Doubleday,,Zippy #1,,,,,
374,Halfway to the Grave,Jeaniene Frost,4.14,"139,771 ratings","7,521 reviews",,Published October 30th 2007 by Avon,,http://www.jeanienefrost.com/books/halfway-to-the-grave/,,Fantasy,Paranormal,Fantasy,
375,Dreamcatcher,Stephen King,3.63,"153,713 ratings","2,659 reviews",,Published March 1st 2002 by Albin Michel (first published March 20th 2001),,United States Military,,,,,
376,Cry Wolf,Patricia Briggs,4.11,"88,946 ratings","3,922 reviews",,Published July 29th 2008 by Ace,,Alpha & Omega #1,"P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) (2008), DABWAHA Romance Tournament for Best Paranormal/Urban Fantasy/SF Romance (2009)",,,,
377,Rant,Chuck Palahniuk,3.82,"61,987 ratings","2,991 reviews",,Published May 1st 2007 by Doubleday Books (first published 2007),,Buster Casey,,,,,
378,Remember Me?,Sophie Kinsella,3.79,"223,856 ratings","7,980 reviews",352 pages,Published 2008 by Bantam,,Eric Ross,,Womens Fiction,Romance,Fiction,
379,From Dead to Worse,Charlaine Harris,4.01,"177,259 ratings","3,753 reviews",,Published May 6th 2008 by Ace (first published May 2008),,Sookie Stackhouse #8,,,,,
380,Lover Avenged,J.R. Ward,4.37,"106,396 ratings","4,035 reviews",527 pages,Published April 28th 2009 by NAL,,Black Dagger Brotherhood #7,"All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance & Honorable Mention for Best Paranormal Romance (2010), P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) for Best Overall Paranormal Romance AND Best Vampire Romance (2009)",,,,
381,"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,4.25,"11,323 ratings","1,396 reviews",,Published February 10th 2004 by Scribner (first published January 28th 2003),,Anisfield-Wolf Book Award (2004),,,,,
382,Ghostwritten,David Mitchell,4.05,"27,038 ratings","2,337 reviews",,Published October 9th 2001 by Vintage (first published August 19th 1999),,https://www.penguinrandomhouse.com/books/115431/ghostwritten-by-david-mitchell/9780375724503,,,,,
383,The Wee Free Men,Terry Pratchett,4.25,"97,608 ratings","4,375 reviews",,Published 2004 by HarperTrophy (first published May 1st 2003),,Discworld #30,"Locus Award for Best Young Adult Novel (2004), Mythopoeic Fantasy Award Nominee for Children's Literature (2004) (2016), Rhode Island Teen Book Award Nominee (2006), Parenting Book of the Year Award (2003), WH Smith Teen Choice Award (2003) ...more",,,,
384,Little Brother,Cory Doctorow,3.93,"47,652 ratings","5,627 reviews",382 pages,Published April 29th 2008 by Tor Books,,http://craphound.com/littlebrother/download/,,Young Adult,Science Fiction,Fiction,
385,The Mermaid Chair,Sue Monk Kidd,3.17,"79,322 ratings","6,454 reviews",,Published March 7th 2006 by Penguin Books (first published January 1st 2004),,,All Editions | Add a New Edition | Combine,,,,
386,Dead Beat,Jim Butcher,4.39,"111,701 ratings","3,594 reviews",,Published January 1st 2006 by Roc (first published May 3rd 2005),,The Dresden Files #7,,,,,
387,Snow,Orhan Pamuk,3.59,"40,102 ratings","3,643 reviews",463 pages,Published August 2005 by Vintage Books (first published 2002),,,All Editions | Add a New Edition | Combine,,,,
